Date,Store,Product,Category,Units Sold,Revenue,Profit,Customer Feedback,Profit Margin %
2025-01-08,London,Cake,Bakery,108,827,222,3.3,26.84
2025-01-04,London,Apples,Fruits,92,849,23,3.4,2.71
2025-01-20,Leeds,Cake,Bakery,202,864,282,3.8,32.64
2025-02-01,London,Bread,Bakery,275,370,102,4.3,27.57
2025-01-23,London,Bread,Bakery,136,912,90,3.5,9.87
2025-02-02,Leeds,Bread,Bakery,64,362,20,4.4,5.52
2025-02-03,Birmingham,Bread,Bakery,312,442,42,4.4,9.5
2025-01-12,Leeds,Bread,Bakery,317,129,87,3.4,67.44
2025-02-13,Leeds,Cake,Bakery,425,586,85,3.4,14.51
2025-02-09,Leeds,Tea,Beverages,98,653,111,3.6,17.0
2025-01-22,Leeds,Tea,Beverages,159,709,196,3.9,27.64
2025-02-06,London,Bread,Bakery,257,560,165,4.8,29.46
2025-02-11,London,Juice,Beverages,252,777,183,4.4,23.55
2025-01-24,Birmingham,Oranges,Fruits,382,712,93,3.3,13.06
2025-02-05,Birmingham,Oranges,Fruits,421,629,103,3.4,16.38
2025-01-25,London,Milk,Dairy,336,971,111,3.1,11.43
2025-01-07,Birmingham,Apples,Fruits,337,900,71,4.0,7.89
2025-02-10,Leeds,Cake,Bakery,359,102,232,3.6,227.45
2025-02-16,Leeds,Juice,Beverages,84,930,131,4.1,14.09
2025-02-17,Leeds,Juice,Beverages,421,775,145,3.7,18.71
2025-02-08,Leeds,Apples,Fruits,115,156,28,4.0,17.95
2025-02-09,Birmingham,Milk,Dairy,321,152,227,4.0,149.34
2025-01-06,Birmingham,Bananas,Fruits,247,665,158,3.7,23.76
2025-01-18,London,Bread,Bakery,154,111,55,3.2,49.55
2025-02-02,Leeds,Juice,Beverages,55,290,299,3.3,103.1
2025-02-04,Birmingham,Cake,Bakery,304,685,278,3.8,40.58
2025-01-23,Leeds,Cake,Bakery,302,227,256,4.7,112.78
2025-01-20,Birmingham,Juice,Beverages,60,331,190,4.3,57.4
2025-02-14,Birmingham,Cheese,Dairy,484,717,259,4.3,36.12
2025-02-16,London,Cheese,Dairy,148,295,92,3.3,31.19
2025-01-24,Leeds,Bananas,Fruits,366,138,150,3.6,108.7
2025-01-31,Birmingham,Tea,Beverages,292,766,263,4.0,34.33
2025-02-16,Leeds,Bananas,Fruits,402,818,235,5.0,28.73
2025-01-31,Leeds,Cheese,Dairy,189,852,52,4.6,6.1
2025-01-31,London,Oranges,Fruits,205,199,74,3.9,37.19
2025-02-07,Leeds,Bread,Bakery,122,685,213,3.7,31.09
2025-02-02,Birmingham,Tea,Beverages,107,459,219,3.2,47.71
2025-01-16,Birmingham,Bread,Bakery,228,142,107,3.1,75.35
2025-02-17,Birmingham,Apples,Fruits,145,874,145,4.6,16.59
2025-01-23,Birmingham,Cake,Bakery,355,287,245,3.3,85.37
2025-02-01,Birmingham,Bananas,Fruits,485,721,272,4.9,37.73
2025-01-19,Leeds,Apples,Fruits,331,732,43,4.4,5.87
2025-02-15,Leeds,Milk,Dairy,467,228,231,3.1,101.32
2025-01-27,London,Bread,Bakery,465,834,124,3.6,14.87
2025-01-21,London,Cake,Bakery,338,738,190,4.0,25.75
2025-02-04,London,Bread,Bakery,72,989,86,4.7,8.7
2025-01-31,Leeds,Bananas,Fruits,435,645,152,3.1,23.57
2025-02-11,Leeds,Juice,Beverages,435,847,215,4.1,25.38
2025-01-27,London,Oranges,Fruits,139,186,286,3.4,153.76
2025-01-05,Birmingham,Bread,Bakery,284,595,243,3.8,40.84
2025-01-28,London,Cake,Bakery,60,865,250,3.1,28.9
2025-01-13,Birmingham,Apples,Fruits,498,893,121,3.3,13.55
2025-02-15,Leeds,Milk,Dairy,362,426,174,3.6,40.85
2025-01-20,Leeds,Apples,Fruits,176,224,103,4.0,45.98
2025-01-07,Leeds,Tea,Beverages,477,650,48,4.2,7.38
2025-02-09,Leeds,Bread,Bakery,362,666,250,3.8,37.54
2025-01-10,Leeds,Apples,Fruits,175,129,170,3.2,131.78
2025-01-26,London,Tea,Beverages,179,381,272,4.6,71.39
2025-01-17,Birmingham,Juice,Beverages,164,981,159,3.8,16.21
2025-01-15,Birmingham,Oranges,Fruits,250,437,118,4.6,27.0
2025-01-12,Birmingham,Cheese,Dairy,337,438,220,4.4,50.23
2025-02-10,Birmingham,Bread,Bakery,399,282,149,4.7,52.84
2025-01-01,Birmingham,Oranges,Fruits,406,770,131,3.6,17.01
2025-02-08,London,Milk,Dairy,384,286,123,4.3,43.01
2025-01-17,Birmingham,Bananas,Fruits,456,635,202,3.7,31.81
2025-01-07,London,Juice,Beverages,152,988,79,3.8,8.0
2025-01-18,Birmingham,Milk,Dairy,255,612,219,4.4,35.78
2025-01-19,London,Cheese,Dairy,461,824,44,3.7,5.34
2025-01-26,Leeds,Cake,Bakery,154,885,293,4.6,33.11
2025-02-13,Leeds,Tea,Beverages,454,323,223,4.7,69.04
2025-01-13,Leeds,Cheese,Dairy,436,797,43,3.5,5.4
2025-02-15,Leeds,Apples,Fruits,137,682,116,3.1,17.01
2025-01-19,Birmingham,Milk,Dairy,381,386,46,3.2,11.92
2025-01-30,Birmingham,Milk,Dairy,59,375,57,4.6,15.2
2025-01-17,London,Oranges,Fruits,239,384,158,3.3,41.15
2025-02-16,Birmingham,Tea,Beverages,364,952,194,4.4,20.38
2025-01-19,Birmingham,Cheese,Dairy,416,820,45,4.9,5.49
2025-01-05,London,Cake,Bakery,406,744,153,3.7,20.56
2025-01-23,Leeds,Bread,Bakery,372,512,89,3.8,17.38
2025-02-04,Birmingham,Cake,Bakery,227,747,240,4.1,32.13
2025-01-07,Birmingham,Bread,Bakery,301,533,288,4.6,54.03
2025-01-16,Birmingham,Tea,Beverages,451,958,155,5.0,16.18
2025-01-15,Leeds,Milk,Dairy,280,292,72,3.1,24.66
2025-01-14,Birmingham,Juice,Beverages,165,466,25,3.5,5.36
2025-01-27,Birmingham,Tea,Beverages,454,759,202,5.0,26.61
2025-01-16,London,Milk,Dairy,157,310,156,4.7,50.32
2025-01-18,Leeds,Juice,Beverages,395,432,148,4.6,34.26
2025-02-16,Birmingham,Cake,Bakery,407,129,132,4.3,102.33
2025-01-26,Leeds,Juice,Beverages,77,990,208,4.9,21.01
2025-01-11,London,Apples,Fruits,195,239,214,4.5,89.54
2025-01-05,London,Tea,Beverages,348,523,93,4.8,17.78
2025-01-11,London,Cheese,Dairy,124,105,236,4.5,224.76
2025-01-10,Birmingham,Cake,Bakery,374,151,40,3.3,26.49
2025-01-13,Birmingham,Bread,Bakery,468,584,235,4.7,40.24
2025-02-09,London,Bananas,Fruits,162,805,279,4.2,34.66
2025-01-11,London,Cake,Bakery,154,702,284,3.1,40.46
2025-02-10,Birmingham,Juice,Beverages,373,943,289,3.4,30.65
2025-01-26,Birmingham,Cheese,Dairy,161,719,151,3.7,21.0
2025-02-06,Birmingham,Cake,Bakery,443,881,84,4.3,9.53
2025-02-06,Birmingham,Cake,Bakery,351,916,139,4.7,15.17
2025-02-16,London,Cake,Bakery,452,311,282,3.7,90.68
2025-02-07,London,Cake,Bakery,205,722,260,4.5,36.01
2025-01-17,London,Cake,Bakery,311,526,138,4.0,26.24
2025-01-27,Leeds,Bananas,Fruits,65,665,193,3.5,29.02
2025-01-03,Birmingham,Apples,Fruits,273,440,209,4.5,47.5
2025-02-14,Leeds,Cheese,Dairy,248,601,230,4.8,38.27
2025-01-11,London,Cheese,Dairy,51,210,150,3.1,71.43
2025-01-16,London,Cheese,Dairy,275,747,226,4.4,30.25
2025-01-17,Leeds,Tea,Beverages,467,516,283,4.0,54.84
2025-01-24,Birmingham,Cheese,Dairy,315,547,21,3.6,3.84
2025-01-06,Leeds,Apples,Fruits,197,840,125,3.1,14.88
2025-01-23,London,Bread,Bakery,299,633,162,3.6,25.59
2025-01-08,London,Juice,Beverages,95,662,112,4.0,16.92
